streetAddress,bathrooms,bedrooms,price,livingArea,homeType,neighbourhoodName,ranking
1188 W 55th Ave,12.0,8.0,28880000.0,15371.0,SINGLE_FAMILY,Oakridge,1
289 Alexander St #808,2.0,1.0,798000.0,790.0,CONDO,Strathcona,1
2026 E 32nd Ave,7.0,8.0,2888000.0,2674.0,SINGLE_FAMILY,Kensington-Cedar Cottage,1
1965 Ferndale St,0.0,3.0,1049000.0,1470.0,SINGLE_FAMILY,Grandview-Woodland,1
6869 Beechwood St,10.0,8.0,9998000.0,7889.0,SINGLE_FAMILY,Kerrisdale,1
3536 Sawmill Cres,3.0,2.0,989900.0,1003.0,TOWNHOUSE,Killarney,1
2843 E 20th Ave,3.0,8.0,1759000.0,2065.0,SINGLE_FAMILY,Renfrew-Collingwood,1
7250 Appledale Pl,2.0,3.0,899999.0,1836.0,TOWNHOUSE,Killarney,1
7577 Jasper Cres,4.0,8.0,2388000.0,2500.0,SINGLE_FAMILY,Victoria-Fraserview,1
5886 Lanark St,4.0,7.0,1668000.0,2475.0,SINGLE_FAMILY,Victoria-Fraserview,1
2376 W 8th Ave,7.0,11.0,3789000.0,3505.0,SINGLE_FAMILY,Kitsilano,1
1358 E 28th Ave,5.0,5.0,2288000.0,2062.0,SINGLE_FAMILY,Kensington-Cedar Cottage,1
2418 Broad Way #302,2.0,2.0,419900.0,992.0,APARTMENT,Renfrew-Collingwood,1
3229 Trutch St,10.0,9.0,6800000.0,5924.0,SINGLE_FAMILY,Arbutus-Ridge,1
6935 Heather St,8.0,7.0,4750000.0,4853.0,SINGLE_FAMILY,Oakridge,1
1487 Minto Cres,10.0,7.0,15888000.0,9904.0,SINGLE_FAMILY,Shaughnessy,1
526 Cordova St E,4.0,6.0,1550000.0,2461.0,SINGLE_FAMILY,Strathcona,1
1961 Collingwood St #216,5.0,3.0,3890000.0,3477.0,TOWNHOUSE,Dunbar-Southlands,1
2250 W 43rd Ave #105,1.0,3.0,499999.0,1254.0,CONDO,Kerrisdale,1
836/838 E 56th Ave,8.0,8.0,3200000.0,2796.0,MULTI_FAMILY,Sunset,1
3079 W 24th Ave,8.0,6.0,5499000.0,4689.0,SINGLE_FAMILY,Dunbar-Southlands,1
3445 E 49th Ave #98,2.0,4.0,833000.0,1393.0,TOWNHOUSE,Sunset,1
3651 Rae Ave,3.0,4.0,1250000.0,1300.0,TOWNHOUSE,Renfrew-Collingwood,1
2420 W 6th Ave,4.0,2.0,1799000.0,1549.0,TOWNHOUSE,Kitsilano,1
4379 W 16th Ave,6.0,5.0,3988800.0,3298.0,SINGLE_FAMILY,West Point Grey,1
1250 Burnaby St #606,1.0,1.0,319000.0,560.0,CONDO,West End,1
5926 Tisdall St #506,1.0,2.0,498000.0,946.0,CONDO,Oakridge,1
1256 E 41st Ave,6.0,6.0,2199000.0,2252.0,SINGLE_FAMILY,Sunset,1
368 E 33rd Ave,7.0,7.0,2960000.0,1945.0,SINGLE_FAMILY,Riley Park,1
1253 E 41st Ave,4.0,4.0,1288000.0,1180.0,MULTI_FAMILY,Riley Park,1
1255 E 41st Ave,4.0,4.0,1288000.0,1180.0,MULTI_FAMILY,Kensington-Cedar Cottage,1
4788 Belmont Ave,11.0,7.0,33888000.0,10548.0,SINGLE_FAMILY,West Point Grey,1
2666 E 53rd Ave,8.0,11.0,4358000.0,4100.0,SINGLE_FAMILY,Victoria-Fraserview,1
3689 Selkirk St,12.0,12.0,17355000.0,12586.0,SINGLE_FAMILY,Shaughnessy,1
55 Alexander St #502,1.0,0.0,399000.0,441.0,CONDO,Downtown,1
4493 Fleming St,7.0,6.0,2050000.0,2179.0,SINGLE_FAMILY,Kensington-Cedar Cottage,1
4837 Ross St,5.0,4.0,2099000.0,2007.0,MULTI_FAMILY,Sunset,1
3576 Dieppe Dr,6.0,9.0,2198800.0,3509.0,SINGLE_FAMILY,Renfrew-Collingwood,1
6475 Wiltshire St,7.0,4.0,6980000.0,4945.0,SINGLE_FAMILY,Kerrisdale,1
1748 E 16th Ave,2.0,6.0,1499000.0,1797.0,SINGLE_FAMILY,Kensington-Cedar Cottage,1
1935 E 53rd Ave,6.0,7.0,2779900.0,3222.0,SINGLE_FAMILY,Victoria-Fraserview,1
383 East Hastings St,3.0,7.0,1549000.0,3310.0,SINGLE_FAMILY,Strathcona,1
2984 Kitchener St,8.0,10.0,3388000.0,3873.0,SINGLE_FAMILY,Hastings-Sunrise,1
4986 Moss St,4.0,5.0,1398000.0,1656.0,TOWNHOUSE,Renfrew-Collingwood,1
1047 E 41st Ave,4.0,5.0,1398000.0,1368.0,MULTI_FAMILY,Kensington-Cedar Cottage,1
8170 Laval Pl,3.0,3.0,729000.0,1516.0,TOWNHOUSE,Killarney,1
5920 Commercial St,5.0,7.0,1899000.0,2328.0,SINGLE_FAMILY,Victoria-Fraserview,1
4474 W 15th Ave,6.0,4.0,4199000.0,2886.0,SINGLE_FAMILY,West Point Grey,1
4105 Elgin St,3.0,6.0,1899900.0,2594.0,SINGLE_FAMILY,Kensington-Cedar Cottage,1
5097 Moss St,4.0,3.0,1249800.0,1246.0,MULTI_FAMILY,Renfrew-Collingwood,1
4318 W 11th Ave,5.0,8.0,4490000.0,3847.0,SINGLE_FAMILY,West Point Grey,1
5038 Arbutus St,9.0,6.0,11880880.0,4542.0,SINGLE_FAMILY,Arbutus-Ridge,1
8415 Wiltshire St,9.0,7.0,8280000.0,7644.0,SINGLE_FAMILY,Marpole,1
4042 W 29th Ave,9.0,7.0,8280000.0,5727.0,SINGLE_FAMILY,Dunbar-Southlands,1
4769 Lanark St,3.0,5.0,1628800.0,2455.0,SINGLE_FAMILY,Kensington-Cedar Cottage,1
829 Windermere St,7.0,13.0,2798000.0,3185.0,SINGLE_FAMILY,Hastings-Sunrise,1
3537 Osler St,9.0,5.0,23800000.0,10880.0,SINGLE_FAMILY,Shaughnessy,1
2268 W 19th Ave,8.0,5.0,6880000.0,4450.0,SINGLE_FAMILY,Arbutus-Ridge,1
1415 W Georgia St #113,0.0,0.0,100000.0,200.0,SINGLE_FAMILY,Downtown,1
1067 E 14th Ave,2.0,5.0,1588000.0,2160.0,SINGLE_FAMILY,Mount Pleasant,1
3255 W 26th Ave,7.0,5.0,5980000.0,4442.0,SINGLE_FAMILY,Dunbar-Southlands,1
727 E 39th Ave,3.0,9.0,1700000.0,2880.0,SINGLE_FAMILY,Kensington-Cedar Cottage,1
3206 Carolina St,5.0,6.0,2198000.0,2680.0,SINGLE_FAMILY,Riley Park,1
